"Time" "Subpop" "SubPopSize"
"1" 430.263402666667 1 1109.21115733333
"2" 714.474090666667 1 2809.04765066667
"3" 1058.88218133333 1 4188.16027733333
"4" 1474.342944 1 5283.062216
"5" 1977.632704 1 6235.11867866667
"6" 2585.52778666667 1 6828.21112133333
"7" 3320.72557333333 1 6966.122384
"8" 4209.870816 1 6691.03999066667
"9" 5284.54248 1 6478.62210666667
"10" 6583.22742933333 1 6457.40498933333
"11" 8155.26779733333 1 6301.97726933333
"12" 10054.9399306667 1 6013.07907866667
"13" 12351.322816 1 5933.638244
"14" 15129.2849226667 1 6238.32591733333
"15" 18486.5236746667 1 6955.51382533333
"16" 22547.381248 1 8105.925664
"17" 27455.936672 1 10125.2524706667
"18" 33391.795312 1 14001.817176
"19" 40568.115184 1 20627.2321293333
"20" 49245.422752 1 29207.5824053333
"21" 59736.5471413333 1 36719.428784
"22" 72422.4096213333 1 41277.16164
"23" 87759.9183466667 1 43507.4260666667
"24" 106304.665738667 1 43454.8766946667
"25" 128726.717968 1 39850.927276
"26" 155837.259706667 1 29747.6320546667
"27" 228249.800901333 1 110715.852458667
