"time" "PopSize"
"1" 0 380.413814880534
"2" 616.776957157556 380.413814880534
"3" 683.069237638565 171.021598098009
"4" 726.939341800497 433.134628862496
"5" 779.982402218944 645.806520519013
"6" 844.116424973249 814.632005593613
"7" 921.660458861973 961.408234272287
"8" 1015.41845085277 1052.89022769599
"9" 1128.78063516678 1074.12714082338
"10" 1265.84612216768 1031.72859725083
"11" 1431.57111979788 998.950355234525
"12" 1631.94814716253 995.693132410494
"13" 1874.22272051982 971.712157981317
"14" 2167.15534691636 927.178730726152
"15" 2521.33829900447 914.924417931456
"16" 2949.57862543379 961.923384962342
"17" 3467.3612462491 1072.4969259498
"18" 4093.40887855358 1249.89567836684
"19" 4850.35903902227 1561.27003521912
"20" 5765.58260328119 2159.00407531153
"21" 6872.17352078121 3180.59029410835
"22" 8210.14547267806 4503.64817526087
"23" 9827.87874316882 5661.92681207071
"24" 11783.8696223068 6364.71257309704
"25" 14148.8455976791 6708.61272489901
"26" 17008.3228190417 6700.48651010558
"27" 20465.6983123401 6144.77032906104
"28" 24645.9887557674 4586.91864571703
"29" 35811.547861068 17071.7730275639
