#   d (cM)	weighted LD	    bin count
     0.188	 0.00026122	     13549252
     0.189	 0.00024619	     10729296
     0.190	 0.00031202	     12101857
     0.191	 0.00025260	     11402788
     0.192	 0.00021094	     12870910
     0.193	 0.00025243	     10516721
     0.194	 0.00027134	     10328181
     0.195	 0.00025702	     10614380
     0.196	 0.00024203	     10789923
     0.197	 0.00022970	     11176412
     0.198	 0.00020094	     12862884
     0.199	 0.00025424	     10296197
     0.200	 0.00022281	     10873990
     0.201	 0.00017675	     12612937
     0.202	 0.00022870	     11280436
     0.203	 0.00012820	     41076786
     0.204	 0.00014765	     14303391
     0.205	 0.00019979	     11385849
     0.206	 0.00018116	     12561659
     0.207	 0.00013681	     19078018
     0.208	 0.00019408	     11747825
     0.209	 0.00021076	     11833063
     0.210	 0.00019058	     12609533
     0.211	 0.00019740	     11777720
     0.212	 0.00016721	     12099128
     0.213	 0.00016248	     12044895
     0.214	 0.00015064	     13215209
     0.215	 0.00015475	     12334735
     0.216	 0.00015410	     12161721
     0.217	 0.00012497	     13302730
     0.218	 0.00014782	     12126084
     0.219	 0.00014447	     12170152
     0.220	 0.00015534	     12536026
     0.221	 0.00015269	     12769503
     0.222	 0.00015000	     12225136
     0.223	 0.00016191	     14329281
     0.224	 0.00010743	     16679055
     0.225	 0.00014490	     12801394
     0.226	 0.00016264	     13198628
     0.227	 0.00015518	     12166375
     0.228	 0.00016683	     12312961
     0.229	 0.00014528	     12503130
     0.230	 0.00014896	     11928541
     0.231	 0.00013232	     12524853
     0.232	 0.00012917	     12223699
     0.233	 0.00006629	     26383565
     0.234	 0.00011694	     13718085
     0.235	 0.00011724	     17212632
     0.236	 0.00015060	     11414840
     0.237	 0.00010753	     12227157
     0.238	 0.00015214	     10763944
     0.239	 0.00004646	     30491460
     0.240	 0.00005330	     43694177
     0.241	 0.00008372	     26220223
     0.242	 0.00013221	     12426017
     0.243	 0.00018016	     10478113
     0.244	 0.00014817	     11476712
     0.245	 0.00014122	     10974501
     0.246	 0.00014658	     10802577
     0.247	 0.00012510	     11188602
     0.248	 0.00009801	     24191204
     0.249	 0.00006979	     32783025
     0.250	 0.00001402	     27716678
     0.251	 0.00012291	     12748388
     0.252	 0.00000786	     27542679
     0.253	 0.00006513	     44471184
     0.254	 0.00005657	     67451095
     0.255	 0.00013635	     13756693
     0.256	 0.00003919	     13387998
     0.257	 0.00000937	     40350545
     0.258	 0.00013026	      8839723
     0.259	 0.00013440	      8751379
     0.260	 0.00012687	      9471553
     0.261	 0.00012928	      8999438
     0.262	 0.00012629	      9066520
     0.263	 0.00008872	     11903095
     0.264	 0.00012192	      9475164
     0.265	 0.00010840	      9321065
     0.266	 0.00002155	     18370294
     0.267	 0.00010126	      9913175
     0.268	 0.00010120	     10313680
     0.269	 0.00008816	     10315644
     0.270	 0.00010534	     10073274
     0.271	 0.00007428	     10699440
     0.272	 0.00005137	     11517589
     0.273	 0.00007380	     11849442
     0.274	 0.00004020	     13255107
     0.275	 0.00010673	     11164896
     0.276	 0.00008542	     11173125
     0.277	 0.00005513	     12648720
     0.278	 0.00006177	     13983456
     0.279	 0.00008076	     11148515
     0.280	 0.00000729	     16203712
     0.281	 0.00010038	     10843443
     0.282	 0.00009793	     10527833
     0.283	 0.00009116	     10920506
     0.284	 0.00009490	     10538836
     0.285	 0.00007329	     11526330
     0.286	 0.00005368	     13114332
     0.287	 0.00009121	     10114472
     0.288	 0.00007668	     11077315
     0.289	 0.00006576	     12314582
     0.290	 0.00006967	     11093666
     0.291	 0.00004676	     12516548
     0.292	 0.00007830	     11638374
     0.293	-0.00000897	     28768321
     0.294	 0.00007285	     21486884
     0.295	 0.00004263	     28133012
     0.296	 0.00008289	     10720774
     0.297	 0.00007504	     13160053
     0.298	 0.00008382	     10432839
     0.299	-0.00000557	     16161407
     0.300	-0.00001052	     24823396
     0.301	-0.00002653	     38646647
     0.302	-0.00000723	     16505740
     0.303	-0.00007951	     40855665
     0.304	-0.00003290	     27630745
     0.305	 0.00005240	     12627024
     0.306	 0.00008342	     11820519
     0.307	 0.00007265	     12334951
     0.308	 0.00007408	     11326779
     0.309	 0.00004673	     12413346
     0.310	 0.00007720	     10741640
     0.311	 0.00008039	     10639120
     0.312	 0.00007203	     10950657
     0.313	 0.00007325	     10948326
     0.314	 0.00006234	     11320912
     0.315	 0.00005973	     12656765
     0.316	 0.00031375	     13583361
     0.317	 0.00007973	     10404710
     0.318	 0.00007756	     10525340
     0.319	 0.00008757	     11714850
     0.320	 0.00015226	     11143211
     0.321	 0.00007614	     10721180
     0.322	 0.00006917	     10680202
     0.323	 0.00005640	     10481654
     0.324	 0.00006350	     10677420
     0.325	 0.00002939	     12387791
     0.326	 0.00006156	     10096618
     0.327	 0.00007205	     10613900
     0.328	 0.00006738	     10211446
     0.329	 0.00009975	     10975853
     0.330	 0.00006420	      8989244
     0.331	 0.00006207	     10014653
     0.332	 0.00005574	      9608803
     0.333	 0.00005544	      8896606
     0.334	 0.00006273	      8852800
     0.335	 0.00006840	      8971002
     0.336	 0.00004768	     10903230
     0.337	 0.00005148	      8975209
     0.338	 0.00004925	      8914714
     0.339	 0.00005036	      8815754
     0.340	 0.00004656	      8989442
     0.341	 0.00004227	      9255400
     0.342	 0.00005901	      8331191
     0.343	 0.00003972	      9817564
     0.344	 0.00005376	      8622018
     0.345	 0.00004814	     10757078
     0.346	 0.00008892	      9459873
     0.347	 0.00007874	      9829893
     0.348	 0.00004603	      9174287
     0.349	 0.00004707	      9259826
     0.350	 0.00011673	      9665440
     0.351	 0.00005228	      8592952
     0.352	 0.00006252	      8682271
     0.353	 0.00005725	     10755310
     0.354	 0.00004942	     11099738
     0.355	 0.00003658	      9034783
     0.356	 0.00003488	      8793639
     0.357	 0.00003333	      9505702
     0.358	 0.00003440	      8947181
     0.359	 0.00004240	      9090020
     0.360	 0.00003568	      9295259
     0.361	 0.00005055	      9343722
     0.362	 0.00004120	      9067240
     0.363	 0.00003748	      9517328
     0.364	 0.00005018	     10154136
     0.365	 0.00003212	      8614176
     0.366	 0.00005036	      9772953
     0.367	 0.00002905	      8935062
     0.368	 0.00002474	      9212397
     0.369	 0.00005943	      9514083
     0.370	 0.00004571	      9366059
     0.371	 0.00010926	      9653896
     0.372	 0.00003178	      9889264
     0.373	 0.00002019	      9250673
     0.374	 0.00002039	     10211326
     0.375	 0.00003035	     10066278
     0.376	 0.00003197	     10805259
     0.377	 0.00002592	     10447238
     0.378	 0.00001619	      9875619
     0.379	 0.00003127	      9454646
     0.380	 0.00003497	     10792399
     0.381	 0.00003103	      9021800
     0.382	-0.00000033	     11607284
     0.383	 0.00002331	      9027518
     0.384	 0.00002358	      9125133
     0.385	 0.00001574	      9287111
     0.386	 0.00003813	      9933742
     0.387	 0.00003639	     10103147
     0.388	 0.00003414	      9280030
     0.389	 0.00001455	     11292572
     0.390	 0.00003313	      9282512
     0.391	 0.00002419	     10623616
     0.392	 0.00002881	      9806907
     0.393	 0.00002321	      8928880
     0.394	 0.00003061	      9345100
     0.395	 0.00018042	     12315182
