#   d (cM)	weighted LD	    bin count
     0.199	 0.00079481	       148144
     0.200	 0.00062500	       143654
     0.201	 0.00058341	       153311
     0.202	 0.00080572	       150682
     0.203	 0.00080244	       161463
     0.204	 0.00091669	       159154
     0.205	 0.00057048	       153794
     0.206	 0.00079217	       144933
     0.207	 0.00104217	       154727
     0.208	 0.00084252	       144186
     0.209	 0.00079599	       146205
     0.210	 0.00096468	       148148
     0.211	 0.00096558	       143572
     0.212	 0.00060031	       145867
     0.213	 0.00098975	       147520
     0.214	 0.00068838	       151469
     0.215	 0.00065767	       152591
     0.216	 0.00051284	       148595
     0.217	 0.00050387	       146985
     0.218	 0.00032217	       149986
     0.219	 0.00059434	       151421
     0.220	 0.00043549	       149328
     0.221	 0.00053058	       149577
     0.222	 0.00059787	       156428
     0.223	 0.00039087	       150183
     0.224	 0.00082476	       149681
     0.225	 0.00045777	       150867
     0.226	 0.00039701	       151685
     0.227	 0.00037186	       151301
     0.228	 0.00034979	       153602
     0.229	 0.00050351	       148962
     0.230	 0.00056246	       146635
     0.231	 0.00044000	       149914
     0.232	 0.00054222	       146600
     0.233	 0.00048522	       148855
     0.234	 0.00042575	       147738
     0.235	 0.00045879	       140471
     0.236	 0.00068491	       149747
     0.237	 0.00049823	       153064
     0.238	 0.00041765	       150015
     0.239	 0.00046497	       142021
     0.240	 0.00060152	       149243
     0.241	 0.00041197	       149612
     0.242	 0.00042031	       148654
     0.243	 0.00046825	       140589
     0.244	 0.00045717	       148630
     0.245	 0.00044322	       150349
     0.246	 0.00084600	       153946
     0.247	 0.00037966	       147583
     0.248	 0.00049907	       152800
     0.249	 0.00037470	       147796
     0.250	 0.00065776	       162072
     0.251	 0.00060077	       152700
     0.252	 0.00060587	       157621
     0.253	 0.00049000	       147424
     0.254	 0.00091502	       151065
     0.255	 0.00068296	       153176
     0.256	 0.00049958	       146451
     0.257	 0.00049454	       153953
     0.258	 0.00045663	       150298
     0.259	 0.00058457	       149679
     0.260	 0.00085610	       148530
     0.261	 0.00053044	       154280
     0.262	 0.00099723	       153654
     0.263	 0.00034466	       152263
     0.264	 0.00056240	       147839
     0.265	 0.00055697	       158562
     0.266	 0.00074194	       155851
     0.267	 0.00072997	       166682
     0.268	 0.00042191	       160810
     0.269	 0.00055126	       154802
     0.270	 0.00045160	       151879
     0.271	 0.00027402	       156285
     0.272	 0.00044299	       153968
     0.273	 0.00036562	       159140
     0.274	 0.00064350	       156531
     0.275	 0.00055879	       144968
     0.276	 0.00041463	       160769
     0.277	 0.00032216	       150025
     0.278	 0.00046347	       148456
     0.279	 0.00049685	       149239
     0.280	 0.00084933	       149792
     0.281	 0.00049094	       144124
     0.282	 0.00046245	       148190
     0.283	 0.00043297	       147284
     0.284	 0.00052009	       147804
     0.285	 0.00027812	       151910
     0.286	 0.00062298	       152924
     0.287	 0.00050504	       158444
     0.288	 0.00058382	       151444
     0.289	 0.00034270	       147216
     0.290	 0.00023573	       150916
     0.291	 0.00075141	       147591
     0.292	 0.00019179	       148622
     0.293	 0.00025232	       144003
     0.294	 0.00055773	       150399
     0.295	-0.00000470	       143804
     0.296	 0.00048151	       143344
     0.297	 0.00047136	       145163
     0.298	 0.00033208	       143118
     0.299	 0.00027176	       149683
     0.300	 0.00015180	       139686
     0.301	 0.00036260	       136546
     0.302	 0.00050768	       145285
     0.303	 0.00012801	       149968
     0.304	 0.00051510	       150047
     0.305	 0.00030726	       147718
     0.306	 0.00008280	       147678
     0.307	 0.00051196	       144909
     0.308	 0.00021433	       161726
     0.309	 0.00035182	       141190
     0.310	 0.00026708	       142550
     0.311	 0.00024733	       149945
     0.312	 0.00009313	       147510
     0.313	 0.00012550	       142584
     0.314	 0.00009695	       145571
     0.315	 0.00006745	       145476
     0.316	 0.00014340	       148754
     0.317	 0.00020517	       144667
     0.318	 0.00063495	       148371
     0.319	 0.00063748	       149825
     0.320	 0.00018788	       161023
     0.321	 0.00028260	       141622
     0.322	 0.00104046	       150857
     0.323	 0.00032511	       145989
     0.324	 0.00020364	       151885
     0.325	 0.00022644	       143919
     0.326	 0.00008331	       139949
     0.327	 0.00037118	       142872
     0.328	 0.00008435	       146021
     0.329	 0.00017039	       147308
     0.330	 0.00011708	       142391
     0.331	 0.00004284	       141000
     0.332	 0.00019698	       149259
     0.333	 0.00011496	       144659
     0.334	 0.00017341	       139348
     0.335	 0.00014359	       151997
     0.336	 0.00010392	       145425
     0.337	 0.00014591	       143437
     0.338	 0.00015352	       143943
     0.339	 0.00025830	       149171
     0.340	 0.00014634	       186938
     0.341	 0.00002865	       139974
     0.342	 0.00016286	       147622
     0.343	 0.00018886	       135681
     0.344	 0.00019618	       136943
     0.345	 0.00020497	       147923
     0.346	 0.00007639	       137467
     0.347	 0.00011436	       142274
     0.348	 0.00022847	       139333
     0.349	 0.00017361	       153393
     0.350	 0.00030798	       143610
     0.351	 0.00025647	       142409
     0.352	 0.00027398	       144270
     0.353	 0.00009820	       146454
     0.354	 0.00032979	       136343
     0.355	 0.00026538	       145124
     0.356	 0.00021574	       140352
     0.357	 0.00015841	       142731
     0.358	 0.00014687	       137497
     0.359	-0.00000416	       143112
     0.360	 0.00006539	       140626
     0.361	 0.00015291	       142440
     0.362	 0.00007512	       141431
     0.363	 0.00018105	       141844
     0.364	 0.00010381	       141976
     0.365	 0.00011777	       142307
     0.366	 0.00008476	       134550
     0.367	 0.00003014	       132667
     0.368	 0.00012496	       136005
     0.369	 0.00022434	       143529
     0.370	 0.00011126	       140613
     0.371	 0.00014166	       140257
     0.372	 0.00021662	       143322
     0.373	 0.00000435	       136256
     0.374	 0.00006723	       137698
     0.375	 0.00011162	       134737
     0.376	 0.00015850	       139838
     0.377	 0.00010373	       138620
     0.378	 0.00010416	       137138
     0.379	 0.00014730	       135128
     0.380	 0.00012450	       144190
     0.381	 0.00013530	       141961
     0.382	 0.00021029	       146939
     0.383	 0.00016056	       144612
     0.384	 0.00034899	       139362
     0.385	 0.00020773	       146199
     0.386	 0.00017100	       136795
     0.387	 0.00016340	       142065
     0.388	 0.00026059	       137379
     0.389	 0.00017195	       141511
     0.390	 0.00002498	       144738
     0.391	 0.00003841	       135823
     0.392	 0.00015483	       144457
     0.393	 0.00019057	       137856
     0.394	 0.00005182	       142227
     0.395	 0.00011558	       147448
     0.396	 0.00005824	       139163
     0.397	 0.00007833	       138448
     0.398	 0.00007911	       139752
     0.399	 0.00013369	       143228
     0.400	 0.00017503	       140246
     0.401	 0.00020087	       141689
     0.402	 0.00003795	       137215
     0.403	 0.00014885	       136356
     0.404	 0.00005294	       146969
     0.405	 0.00027335	       145319
     0.406	 0.00028674	       153110
     0.407	 0.00025775	       141588
     0.408	 0.00022391	       139883
     0.409	 0.00029824	       150339
     0.410	 0.00016993	       144150
     0.411	 0.00021539	       143550
     0.412	 0.00018604	       145689
     0.413	 0.00015791	       145946
     0.414	 0.00022401	       143328
     0.415	 0.00018306	       138856
     0.416	 0.00019796	       146699
     0.417	 0.00014185	       151767
     0.418	 0.00017608	       147911
     0.419	 0.00010833	       140422
     0.420	 0.00013384	       148494
     0.421	 0.00016689	       149950
     0.422	 0.00014108	       154859
     0.423	 0.00009517	       135924
     0.424	 0.00004664	       141759
     0.425	 0.00005778	       147992
     0.426	 0.00009556	       154578
     0.427	 0.00004207	       146110
     0.428	 0.00003813	       142537
     0.429	 0.00011402	       144204
     0.430	 0.00017197	       150873
     0.431	 0.00005719	       143066
     0.432	 0.00010810	       136361
     0.433	 0.00010526	       141620
     0.434	 0.00012042	       148665
     0.435	 0.00006501	       143526
     0.436	 0.00019391	       138779
     0.437	 0.00015215	       135438
     0.438	 0.00011785	       140835
     0.439	 0.00012085	       138551
     0.440	 0.00018499	       143753
     0.441	 0.00006604	       145288
     0.442	 0.00007735	       152701
     0.443	 0.00011376	       147707
     0.444	 0.00011630	       146731
     0.445	 0.00008010	       148109
     0.446	 0.00014394	       136542
     0.447	 0.00000906	       132954
     0.448	 0.00008578	       136268
     0.449	 0.00001726	       138078
     0.450	 0.00014815	       142258
     0.451	 0.00003400	       148598
     0.452	 0.00008222	       135778
     0.453	 0.00011366	       145484
     0.454	 0.00010464	       144239
     0.455	 0.00003154	       137468
     0.456	-0.00014456	       144004
     0.457	 0.00001529	       136294
     0.458	-0.00004418	       144046
     0.459	 0.00009337	       141075
     0.460	 0.00002920	       140489
     0.461	 0.00000710	       137903
     0.462	 0.00005119	       140691
     0.463	 0.00010334	       138293
     0.464	-0.00001041	       132040
     0.465	-0.00002003	       139473
     0.466	-0.00009228	       140645
     0.467	 0.00000407	       133199
     0.468	-0.00001546	       139093
     0.469	-0.00002399	       144592
     0.470	 0.00006528	       135577
     0.471	 0.00003914	       138934
     0.472	 0.00010082	       142853
     0.473	 0.00005313	       147183
     0.474	-0.00007800	       133947
     0.475	-0.00003316	       143723
     0.476	 0.00005194	       145653
     0.477	 0.00010313	       137503
     0.478	 0.00005061	       143461
     0.479	 0.00006854	       138049
     0.480	 0.00006295	       140835
