#   d (cM)	weighted LD	    bin count
     0.199	 0.00313001	       112675
     0.200	 0.00311166	       112359
     0.201	 0.00308181	       112516
     0.202	 0.00310745	       112673
     0.203	 0.00304790	       112976
     0.204	 0.00304570	       111740
     0.205	 0.00305143	       111784
     0.206	 0.00301805	       112130
     0.207	 0.00297272	       111855
     0.208	 0.00302392	       112493
     0.209	 0.00301895	       112261
     0.210	 0.00298197	       112000
     0.211	 0.00295413	       112289
     0.212	 0.00288464	       112131
     0.213	 0.00279591	       112097
     0.214	 0.00282217	       111819
     0.215	 0.00289226	       111650
     0.216	 0.00281177	       110527
     0.217	 0.00267657	       112424
     0.218	 0.00268556	       111617
     0.219	 0.00270767	       111146
     0.220	 0.00263003	       112442
     0.221	 0.00266415	       111446
     0.222	 0.00262493	       111368
     0.223	 0.00271003	       111754
     0.224	 0.00276277	       110921
     0.225	 0.00262013	       111393
     0.226	 0.00265591	       111778
     0.227	 0.00253842	       110746
     0.228	 0.00264786	       112141
     0.229	 0.00262272	       110982
     0.230	 0.00257195	       111445
     0.231	 0.00254404	       111347
     0.232	 0.00262656	       110900
     0.233	 0.00263437	       110553
     0.234	 0.00248681	       111226
     0.235	 0.00241031	       110749
     0.236	 0.00247903	       110739
     0.237	 0.00245574	       110532
     0.238	 0.00252144	       111116
     0.239	 0.00241071	       110605
     0.240	 0.00243664	       110283
     0.241	 0.00247045	       110516
     0.242	 0.00241877	       109869
     0.243	 0.00246123	       110379
     0.244	 0.00242855	       111255
     0.245	 0.00246742	       110657
     0.246	 0.00241900	       110617
     0.247	 0.00249486	       110851
     0.248	 0.00239773	       110874
     0.249	 0.00243168	       111218
     0.250	 0.00223974	       111370
     0.251	 0.00225211	       111523
     0.252	 0.00228316	       110625
     0.253	 0.00229318	       110875
     0.254	 0.00226192	       109600
     0.255	 0.00217007	       110851
     0.256	 0.00221462	       110199
     0.257	 0.00227779	       110574
     0.258	 0.00230539	       110859
     0.259	 0.00225666	       110552
     0.260	 0.00216932	       110208
     0.261	 0.00205760	       109839
     0.262	 0.00218220	       110306
     0.263	 0.00200030	       110127
     0.264	 0.00215434	       109623
     0.265	 0.00210404	       110466
     0.266	 0.00208045	       109913
     0.267	 0.00209342	       109791
     0.268	 0.00209906	       109912
     0.269	 0.00211494	       108916
     0.270	 0.00213460	       109308
     0.271	 0.00198274	       109774
     0.272	 0.00201884	       109832
     0.273	 0.00203192	       109458
     0.274	 0.00195696	       110396
     0.275	 0.00196033	       109774
     0.276	 0.00195845	       109955
     0.277	 0.00189842	       110192
     0.278	 0.00188237	       110768
     0.279	 0.00190020	       110551
     0.280	 0.00190270	       110982
     0.281	 0.00192719	       110226
     0.282	 0.00189847	       110366
     0.283	 0.00194051	       110357
     0.284	 0.00193581	       110450
     0.285	 0.00184865	       110462
     0.286	 0.00186379	       110769
     0.287	 0.00181349	       110667
     0.288	 0.00198778	       110264
     0.289	 0.00193988	       110840
     0.290	 0.00190048	       110907
     0.291	 0.00200903	       109871
     0.292	 0.00191334	       110428
     0.293	 0.00194587	       109844
     0.294	 0.00199043	       109681
     0.295	 0.00200097	       110863
     0.296	 0.00191834	       110663
     0.297	 0.00185563	       110245
     0.298	 0.00197364	       109740
     0.299	 0.00196862	       109965
     0.300	 0.00194313	       109958
     0.301	 0.00202738	       110054
     0.302	 0.00199593	       109667
     0.303	 0.00194477	       109643
     0.304	 0.00198810	       109860
     0.305	 0.00187957	       109639
     0.306	 0.00183321	       109674
     0.307	 0.00191409	       110121
     0.308	 0.00189449	       110501
     0.309	 0.00186578	       109545
     0.310	 0.00185929	       110041
     0.311	 0.00189984	       110208
     0.312	 0.00185613	       109663
     0.313	 0.00183036	       109875
     0.314	 0.00190219	       109260
     0.315	 0.00194201	       109977
     0.316	 0.00200164	       110424
     0.317	 0.00195807	       109251
     0.318	 0.00185611	       110253
     0.319	 0.00186982	       109678
     0.320	 0.00181172	       109389
     0.321	 0.00185791	       110354
     0.322	 0.00180422	       109800
     0.323	 0.00178206	       110088
     0.324	 0.00180933	       110822
     0.325	 0.00184968	       109433
     0.326	 0.00178450	       109568
     0.327	 0.00177691	       109456
     0.328	 0.00178071	       109407
     0.329	 0.00172605	       109813
     0.330	 0.00165747	       109867
     0.331	 0.00172617	       109490
     0.332	 0.00167476	       110470
     0.333	 0.00155534	       109368
     0.334	 0.00171866	       110686
     0.335	 0.00172508	       109589
     0.336	 0.00167907	       109451
     0.337	 0.00163558	       109436
     0.338	 0.00162451	       109947
     0.339	 0.00159837	       110091
     0.340	 0.00161123	       109496
     0.341	 0.00160954	       109672
     0.342	 0.00153984	       110065
     0.343	 0.00154445	       109893
     0.344	 0.00155392	       109501
     0.345	 0.00157740	       109461
     0.346	 0.00157263	       109760
     0.347	 0.00155987	       109318
     0.348	 0.00148548	       109463
     0.349	 0.00157809	       110025
     0.350	 0.00155969	       109789
     0.351	 0.00155832	       109991
     0.352	 0.00145752	       110703
     0.353	 0.00157165	       109710
     0.354	 0.00156247	       109643
     0.355	 0.00156138	       109902
     0.356	 0.00157196	       109913
     0.357	 0.00153246	       109774
     0.358	 0.00151571	       109991
     0.359	 0.00147622	       109922
     0.360	 0.00152737	       109320
     0.361	 0.00141254	       109758
     0.362	 0.00136273	       108966
     0.363	 0.00138835	       109389
     0.364	 0.00137970	       109069
     0.365	 0.00136599	       108610
     0.366	 0.00142909	       109113
     0.367	 0.00133302	       108584
     0.368	 0.00138737	       108775
     0.369	 0.00128747	       108951
     0.370	 0.00125487	       108584
     0.371	 0.00131988	       109607
     0.372	 0.00131531	       110031
     0.373	 0.00134046	       109311
     0.374	 0.00131261	       109015
     0.375	 0.00136872	       109290
     0.376	 0.00126352	       110283
     0.377	 0.00132736	       109775
     0.378	 0.00127560	       109373
     0.379	 0.00124011	       109184
     0.380	 0.00121666	       108834
     0.381	 0.00123877	       108842
     0.382	 0.00125902	       109087
     0.383	 0.00121345	       109558
     0.384	 0.00122178	       109682
     0.385	 0.00121599	       109823
     0.386	 0.00124278	       109507
     0.387	 0.00121197	       109361
     0.388	 0.00118226	       109001
     0.389	 0.00132976	       108472
     0.390	 0.00120234	       108650
     0.391	 0.00111977	       109353
     0.392	 0.00115139	       109112
     0.393	 0.00110439	       109470
     0.394	 0.00119284	       108764
     0.395	 0.00114555	       108593
     0.396	 0.00117284	       109392
     0.397	 0.00117796	       109049
     0.398	 0.00115025	       109315
     0.399	 0.00124370	       109494
     0.400	 0.00112515	       108399
     0.401	 0.00108112	       107586
     0.402	 0.00109095	       109070
     0.403	 0.00111962	       108778
     0.404	 0.00111520	       109009
     0.405	 0.00112466	       108632
     0.406	 0.00115844	       108641
     0.407	 0.00111137	       108939
     0.408	 0.00104132	       109117
     0.409	 0.00108900	       109207
     0.410	 0.00105002	       109739
     0.411	 0.00110782	       109485
     0.412	 0.00111489	       109063
     0.413	 0.00106685	       109540
     0.414	 0.00108736	       109067
     0.415	 0.00105551	       108203
     0.416	 0.00106700	       109292
     0.417	 0.00105357	       109877
     0.418	 0.00103233	       108562
     0.419	 0.00101171	       109180
     0.420	 0.00106451	       108778
     0.421	 0.00099993	       109300
     0.422	 0.00102814	       108188
     0.423	 0.00099580	       108645
     0.424	 0.00100448	       108367
     0.425	 0.00109974	       108674
     0.426	 0.00096496	       108839
     0.427	 0.00098067	       109134
     0.428	 0.00097051	       108578
     0.429	 0.00103050	       108347
     0.430	 0.00098664	       108643
     0.431	 0.00099198	       108796
     0.432	 0.00100243	       109222
     0.433	 0.00098171	       110342
     0.434	 0.00097585	       109586
     0.435	 0.00098906	       108801
     0.436	 0.00100482	       108442
     0.437	 0.00095296	       108531
     0.438	 0.00102003	       109079
     0.439	 0.00094489	       109350
     0.440	 0.00098293	       108590
     0.441	 0.00097927	       108085
     0.442	 0.00095192	       108396
     0.443	 0.00097548	       108166
     0.444	 0.00096818	       108736
     0.445	 0.00092416	       107360
     0.446	 0.00097166	       108552
     0.447	 0.00096113	       109476
     0.448	 0.00095756	       108439
     0.449	 0.00092298	       108942
     0.450	 0.00095650	       108838
     0.451	 0.00098624	       108715
     0.452	 0.00096757	       108803
     0.453	 0.00087485	       109223
     0.454	 0.00093592	       109083
     0.455	 0.00087799	       108867
     0.456	 0.00088441	       108826
     0.457	 0.00086916	       109290
     0.458	 0.00084467	       108273
     0.459	 0.00086219	       108711
     0.460	 0.00090081	       108920
     0.461	 0.00085978	       108036
