#   d (cM)	weighted LD	    bin count
     0.001	 0.00153460	      4405523
     0.002	 0.00122832	      4338426
     0.003	 0.00103007	      4294787
     0.004	 0.00087789	      4260852
     0.005	 0.00077247	      4228258
     0.006	 0.00068697	      4205822
     0.007	 0.00062653	      4189207
     0.008	 0.00058508	      4174298
     0.009	 0.00054464	      4161058
     0.010	 0.00051685	      4148125
     0.011	 0.00048451	      4138931
     0.012	 0.00046126	      4127175
     0.013	 0.00044030	      4121023
     0.014	 0.00042122	      4113376
     0.015	 0.00040490	      4109394
     0.016	 0.00038898	      4101408
     0.017	 0.00037637	      4096853
     0.018	 0.00036304	      4092731
     0.019	 0.00035421	      4093409
     0.020	 0.00034097	      4086123
     0.021	 0.00033271	      4083925
     0.022	 0.00032934	      4082172
     0.023	 0.00032110	      4079036
     0.024	 0.00031255	      4073844
     0.025	 0.00030295	      4070007
     0.026	 0.00029611	      4069836
     0.027	 0.00028840	      4067909
     0.028	 0.00028378	      4065761
     0.029	 0.00027684	      4064004
     0.030	 0.00027221	      4060861
     0.031	 0.00026825	      4059540
     0.032	 0.00026594	      4053451
     0.033	 0.00025535	      4053190
     0.034	 0.00025310	      4054254
     0.035	 0.00024444	      4050818
     0.036	 0.00024379	      4050707
     0.037	 0.00023865	      4047185
     0.038	 0.00023110	      4046803
     0.039	 0.00022406	      4048254
     0.040	 0.00022200	      4040957
     0.041	 0.00022005	      4040874
     0.042	 0.00021668	      4041485
     0.043	 0.00021196	      4042295
     0.044	 0.00021026	      4036999
     0.045	 0.00020338	      4037865
     0.046	 0.00020354	      4034623
     0.047	 0.00019648	      4032678
     0.048	 0.00019855	      4031726
     0.049	 0.00019310	      4036263
     0.050	 0.00019214	      4035216
     0.051	 0.00018455	      4036240
     0.052	 0.00018279	      4032502
     0.053	 0.00018089	      4032156
     0.054	 0.00017653	      4030768
     0.055	 0.00017420	      4030695
     0.056	 0.00016953	      4026588
     0.057	 0.00016767	      4028460
     0.058	 0.00016812	      4027429
     0.059	 0.00016527	      4027441
     0.060	 0.00015961	      4029117
     0.061	 0.00015765	      4029765
