#   d (cM)	weighted LD	    bin count
     0.001	 0.00163528	      4397744
     0.002	 0.00132305	      4334147
     0.003	 0.00108621	      4285905
     0.004	 0.00092883	      4253690
     0.005	 0.00081804	      4226706
     0.006	 0.00073101	      4205413
     0.007	 0.00066830	      4184877
     0.008	 0.00061704	      4170368
     0.009	 0.00057257	      4152725
     0.010	 0.00053535	      4144871
     0.011	 0.00051488	      4136461
     0.012	 0.00048649	      4128284
     0.013	 0.00046106	      4118026
     0.014	 0.00044269	      4112962
     0.015	 0.00042669	      4105331
     0.016	 0.00041627	      4100473
     0.017	 0.00039710	      4095976
     0.018	 0.00039197	      4093645
     0.019	 0.00037820	      4081000
     0.020	 0.00037034	      4081247
     0.021	 0.00036156	      4079194
     0.022	 0.00035120	      4072063
     0.023	 0.00034175	      4068527
     0.024	 0.00033442	      4063110
     0.025	 0.00032497	      4063904
     0.026	 0.00032189	      4065122
     0.027	 0.00031678	      4060851
     0.028	 0.00030664	      4057820
     0.029	 0.00029926	      4058341
     0.030	 0.00029215	      4052813
     0.031	 0.00028763	      4054496
     0.032	 0.00028277	      4050843
     0.033	 0.00027341	      4048307
     0.034	 0.00027487	      4045752
     0.035	 0.00026724	      4042328
     0.036	 0.00026083	      4041240
     0.037	 0.00025634	      4041109
     0.038	 0.00025111	      4039895
     0.039	 0.00024620	      4035984
     0.040	 0.00024316	      4038702
     0.041	 0.00023914	      4035397
     0.042	 0.00023505	      4034248
     0.043	 0.00023202	      4036942
     0.044	 0.00022521	      4030932
     0.045	 0.00022320	      4031052
     0.046	 0.00022186	      4030614
     0.047	 0.00021724	      4032571
     0.048	 0.00021428	      4032821
     0.049	 0.00021005	      4029830
     0.050	 0.00020607	      4028757
     0.051	 0.00020164	      4024687
     0.052	 0.00019818	      4024110
     0.053	 0.00019202	      4021883
     0.054	 0.00019195	      4025981
     0.055	 0.00018580	      4024134
     0.056	 0.00018650	      4022744
     0.057	 0.00018237	      4023548
     0.058	 0.00017890	      4021715
     0.059	 0.00017745	      4024667
     0.060	 0.00017285	      4022805
     0.061	 0.00017011	      4019497
     0.062	 0.00016808	      4022662
     0.063	 0.00016515	      4019435
     0.064	 0.00015997	      4019889
     0.065	 0.00016224	      4017722
     0.066	 0.00015468	      4018946
     0.067	 0.00015390	      4018381
     0.068	 0.00015053	      4018824
     0.069	 0.00014702	      4021538
     0.070	 0.00014416	      4015271
     0.071	 0.00014433	      4016849
     0.072	 0.00014050	      4018296
     0.073	 0.00013853	      4016140
     0.074	 0.00013861	      4016353
     0.075	 0.00013518	      4015703
     0.076	 0.00013366	      4016419
     0.077	 0.00013082	      4018373
     0.078	 0.00012820	      4015316
     0.079	 0.00012513	      4014251
     0.080	 0.00012479	      4015994
     0.081	 0.00012206	      4015579
     0.082	 0.00012261	      4018792
     0.083	 0.00011869	      4017505
     0.084	 0.00011823	      4015911
     0.085	 0.00011508	      4014557
     0.086	 0.00011124	      4013969
     0.087	 0.00011014	      4017884
     0.088	 0.00011081	      4013967
     0.089	 0.00011096	      4011338
     0.090	 0.00010677	      4011245
     0.091	 0.00010400	      4013772
     0.092	 0.00010347	      4011699
     0.093	 0.00010361	      4008743
     0.094	 0.00010310	      4012767
     0.095	 0.00010096	      4011993
     0.096	 0.00010014	      4009685
     0.097	 0.00009708	      4011881
     0.098	 0.00009489	      4010565
     0.099	 0.00009472	      4006925
     0.100	 0.00009282	      4007557
     0.101	 0.00009217	      4009041
     0.102	 0.00009138	      4008518
     0.103	 0.00008906	      4003661
     0.104	 0.00008716	      4006797
     0.105	 0.00008607	      4007958
     0.106	 0.00008591	      4007705
     0.107	 0.00008375	      4007155
     0.108	 0.00008114	      4006792
     0.109	 0.00007978	      4007123
     0.110	 0.00007977	      4002484
     0.111	 0.00007698	      4006697
     0.112	 0.00007684	      4007123
     0.113	 0.00007366	      4007505
     0.114	 0.00007342	      4003974
     0.115	 0.00007344	      4008413
     0.116	 0.00007405	      4009200
     0.117	 0.00007308	      4010123
     0.118	 0.00007177	      4008200
     0.119	 0.00006798	      4006320
     0.120	 0.00006865	      4010017
     0.121	 0.00006671	      4007697
     0.122	 0.00006800	      4001120
     0.123	 0.00006583	      4004325
     0.124	 0.00006442	      4002502
     0.125	 0.00006402	      4007432
     0.126	 0.00006216	      4002713
     0.127	 0.00006148	      4006687
     0.128	 0.00006162	      4006575
     0.129	 0.00005943	      4000435
     0.130	 0.00005947	      4004130
     0.131	 0.00005600	      4003948
     0.132	 0.00005582	      4003726
     0.133	 0.00005561	      4000764
     0.134	 0.00005511	      4002350
     0.135	 0.00005430	      4005227
     0.136	 0.00005396	      3999370
     0.137	 0.00005186	      4001489
     0.138	 0.00005193	      4006044
     0.139	 0.00004984	      3999068
     0.140	 0.00005129	      3999215
     0.141	 0.00004939	      4000639
     0.142	 0.00004877	      4004319
     0.143	 0.00004780	      3998824
     0.144	 0.00004744	      4001076
     0.145	 0.00004697	      4003086
     0.146	 0.00004707	      3999188
     0.147	 0.00004500	      4000502
     0.148	 0.00004469	      4003141
     0.149	 0.00004402	      3999121
     0.150	 0.00004379	      4001843
     0.151	 0.00004354	      4001697
     0.152	 0.00004222	      4002017
     0.153	 0.00004294	      3997561
     0.154	 0.00004177	      4001633
     0.155	 0.00004022	      4001605
     0.156	 0.00004282	      4001863
     0.157	 0.00004119	      3997291
     0.158	 0.00003886	      4001727
     0.159	 0.00003915	      4001494
     0.160	 0.00003813	      3997826
     0.161	 0.00003703	      4000206
     0.162	 0.00003632	      4000670
     0.163	 0.00003520	      3999478
     0.164	 0.00003433	      4001665
     0.165	 0.00003507	      3999109
     0.166	 0.00003420	      3999887
     0.167	 0.00003388	      4000764
     0.168	 0.00003331	      3999804
     0.169	 0.00003315	      3997877
     0.170	 0.00003194	      3996188
     0.171	 0.00003287	      3999768
     0.172	 0.00003187	      3998576
     0.173	 0.00003089	      3999117
     0.174	 0.00003061	      3994681
     0.175	 0.00003097	      3996760
     0.176	 0.00002978	      4000294
     0.177	 0.00003007	      4000330
     0.178	 0.00002949	      3998391
     0.179	 0.00002952	      3997491
     0.180	 0.00002813	      3997252
     0.181	 0.00002667	      3999294
     0.182	 0.00002696	      3999457
     0.183	 0.00002617	      3996269
     0.184	 0.00002594	      3995878
     0.185	 0.00002625	      3998541
     0.186	 0.00002633	      3994661
     0.187	 0.00002540	      3997612
     0.188	 0.00002562	      3996488
     0.189	 0.00002484	      3996409
     0.190	 0.00002422	      3997810
     0.191	 0.00002435	      4000319
     0.192	 0.00002470	      3998513
     0.193	 0.00002403	      4001151
     0.194	 0.00002355	      3997503
     0.195	 0.00002233	      3999301
     0.196	 0.00002243	      4000718
     0.197	 0.00002045	      3994936
     0.198	 0.00002124	      3994316
     0.199	 0.00002073	      3996518
     0.200	 0.00002017	      3996063
     0.201	 0.00002035	      3995158
     0.202	 0.00001987	      3995692
     0.203	 0.00002025	      3995575
     0.204	 0.00001966	      3995676
     0.205	 0.00001897	      3998196
     0.206	 0.00001953	      3995744
     0.207	 0.00001901	      3999540
     0.208	 0.00001850	      3995469
     0.209	 0.00001856	      3996494
     0.210	 0.00001733	      3997815
     0.211	 0.00001695	      3997807
     0.212	 0.00001803	      3992423
     0.213	 0.00001858	      3997106
     0.214	 0.00001709	      3997902
     0.215	 0.00001635	      3993921
     0.216	 0.00001592	      3993535
     0.217	 0.00001658	      3994523
     0.218	 0.00001659	      3994117
     0.219	 0.00001648	      3992812
     0.220	 0.00001529	      3997809
     0.221	 0.00001465	      3994769
     0.222	 0.00001599	      3998468
     0.223	 0.00001495	      3996204
     0.224	 0.00001534	      3996457
     0.225	 0.00001496	      3998752
     0.226	 0.00001452	      3995113
     0.227	 0.00001430	      3993043
     0.228	 0.00001349	      3995732
     0.229	 0.00001301	      3996964
     0.230	 0.00001343	      3993548
     0.231	 0.00001329	      3995344
     0.232	 0.00001318	      3993644
     0.233	 0.00001346	      3996053
     0.234	 0.00001279	      3995391
     0.235	 0.00001216	      3997307
     0.236	 0.00001231	      3996674
     0.237	 0.00001252	      3995918
     0.238	 0.00001318	      3992990
     0.239	 0.00001188	      3993573
     0.240	 0.00001146	      3994671
     0.241	 0.00001125	      3992077
     0.242	 0.00001190	      3991907
     0.243	 0.00001144	      3996393
     0.244	 0.00001123	      3993799
     0.245	 0.00001195	      3992960
     0.246	 0.00001107	      3992388
     0.247	 0.00001093	      3990798
     0.248	 0.00001125	      3993090
     0.249	 0.00001081	      3994349
     0.250	 0.00000968	      3996155
     0.251	 0.00001007	      3993818
     0.252	 0.00001017	      3991687
     0.253	 0.00000944	      3991961
     0.254	 0.00000948	      3993379
     0.255	 0.00000928	      3989949
     0.256	 0.00000872	      3990351
     0.257	 0.00000936	      3992021
     0.258	 0.00000881	      3992234
     0.259	 0.00000848	      3991991
     0.260	 0.00000837	      3991128
     0.261	 0.00000860	      3994361
     0.262	 0.00000823	      3991068
     0.263	 0.00000806	      3991111
     0.264	 0.00000863	      3990546
     0.265	 0.00000847	      3992838
     0.266	 0.00000791	      3992921
     0.267	 0.00000826	      3991147
     0.268	 0.00000848	      3991712
     0.269	 0.00000839	      3993917
     0.270	 0.00000717	      3990326
     0.271	 0.00000784	      3990003
     0.272	 0.00000779	      3994831
     0.273	 0.00000734	      3990936
     0.274	 0.00000730	      3988155
     0.275	 0.00000736	      3988905
     0.276	 0.00000755	      3989418
     0.277	 0.00000709	      3993810
     0.278	 0.00000725	      3989379
     0.279	 0.00000713	      3989129
     0.280	 0.00000737	      3990186
     0.281	 0.00000743	      3987865
     0.282	 0.00000759	      3987002
     0.283	 0.00000720	      3990062
     0.284	 0.00000679	      3990928
     0.285	 0.00000698	      3988679
     0.286	 0.00000636	      3986123
     0.287	 0.00000626	      3990690
     0.288	 0.00000605	      3991613
     0.289	 0.00000552	      3990741
     0.290	 0.00000585	      3989238
     0.291	 0.00000656	      3985884
     0.292	 0.00000578	      3987581
     0.293	 0.00000639	      3993797
     0.294	 0.00000588	      3990564
     0.295	 0.00000606	      3991408
     0.296	 0.00000616	      3991921
     0.297	 0.00000522	      3993900
     0.298	 0.00000513	      3989606
     0.299	 0.00000449	      3994479
     0.300	 0.00000499	      3991911
     0.301	 0.00000495	      3994054
     0.302	 0.00000495	      3985320
     0.303	 0.00000412	      3989928
     0.304	 0.00000562	      3993073
     0.305	 0.00000569	      3988770
     0.306	 0.00000587	      3988016
     0.307	 0.00000499	      3989994
     0.308	 0.00000623	      3992953
     0.309	 0.00000482	      3987601
     0.310	 0.00000555	      3990097
     0.311	 0.00000465	      3988745
     0.312	 0.00000490	      3989195
     0.313	 0.00000548	      3989661
     0.314	 0.00000451	      3992115
     0.315	 0.00000517	      3990170
     0.316	 0.00000524	      3988003
     0.317	 0.00000485	      3990847
     0.318	 0.00000474	      3992349
     0.319	 0.00000451	      3989706
     0.320	 0.00000412	      3985136
     0.321	 0.00000376	      3988437
     0.322	 0.00000431	      3988399
     0.323	 0.00000475	      3986802
     0.324	 0.00000433	      3987786
     0.325	 0.00000413	      3986517
