#   d (cM)	weighted LD	    bin count
     0.001	 0.00163984	      4386944
     0.002	 0.00131716	      4323126
     0.003	 0.00109402	      4279360
     0.004	 0.00095343	      4241517
     0.005	 0.00083496	      4212270
     0.006	 0.00075380	      4192300
     0.007	 0.00069232	      4174081
     0.008	 0.00064030	      4156250
     0.009	 0.00059124	      4144391
     0.010	 0.00055581	      4132211
     0.011	 0.00052360	      4125100
     0.012	 0.00049970	      4114902
     0.013	 0.00047693	      4110781
     0.014	 0.00045711	      4099164
     0.015	 0.00044229	      4095765
     0.016	 0.00042823	      4088727
     0.017	 0.00041149	      4083062
     0.018	 0.00039838	      4077163
     0.019	 0.00038980	      4074934
     0.020	 0.00037434	      4070771
     0.021	 0.00036769	      4065814
     0.022	 0.00035546	      4067367
     0.023	 0.00034733	      4060661
     0.024	 0.00033633	      4056964
     0.025	 0.00033312	      4060662
     0.026	 0.00032499	      4051455
     0.027	 0.00031626	      4052086
     0.028	 0.00030826	      4047963
     0.029	 0.00029944	      4043967
     0.030	 0.00029601	      4041857
     0.031	 0.00029052	      4041853
     0.032	 0.00028224	      4040545
     0.033	 0.00027581	      4038872
     0.034	 0.00027253	      4036553
     0.035	 0.00026655	      4034123
     0.036	 0.00026263	      4031981
     0.037	 0.00025507	      4033367
     0.038	 0.00025110	      4032637
     0.039	 0.00024845	      4030114
     0.040	 0.00024256	      4030435
     0.041	 0.00024012	      4024842
     0.042	 0.00023404	      4025586
     0.043	 0.00022896	      4027082
     0.044	 0.00022832	      4024168
     0.045	 0.00022252	      4024294
     0.046	 0.00021853	      4023239
     0.047	 0.00021781	      4023795
     0.048	 0.00021103	      4016833
     0.049	 0.00021015	      4019941
     0.050	 0.00020138	      4023513
     0.051	 0.00020343	      4021004
     0.052	 0.00019782	      4017463
     0.053	 0.00019655	      4015487
     0.054	 0.00018802	      4014092
     0.055	 0.00018646	      4014211
     0.056	 0.00018494	      4016394
     0.057	 0.00017834	      4008705
     0.058	 0.00017696	      4010884
     0.059	 0.00017503	      4010299
     0.060	 0.00017054	      4013917
     0.061	 0.00016993	      4011853
     0.062	 0.00016241	      4009952
     0.063	 0.00016512	      4009695
     0.064	 0.00016316	      4010253
     0.065	 0.00016171	      4007856
     0.066	 0.00015945	      4008775
     0.067	 0.00015396	      4007388
     0.068	 0.00015051	      4005223
     0.069	 0.00015194	      4009073
     0.070	 0.00014523	      4005425
     0.071	 0.00014603	      4007035
     0.072	 0.00014178	      4004167
     0.073	 0.00013993	      4004334
     0.074	 0.00013997	      4003374
     0.075	 0.00013708	      4004505
     0.076	 0.00013406	      4004408
     0.077	 0.00013387	      4000082
     0.078	 0.00013281	      4001457
     0.079	 0.00012787	      4004715
     0.080	 0.00012626	      4002469
     0.081	 0.00012257	      4003813
     0.082	 0.00011968	      3997613
     0.083	 0.00012079	      3999576
     0.084	 0.00011822	      3999522
     0.085	 0.00011688	      3998006
     0.086	 0.00011469	      4007119
     0.087	 0.00011313	      3999421
     0.088	 0.00011127	      3996944
     0.089	 0.00011069	      4000507
     0.090	 0.00010665	      3997141
     0.091	 0.00010474	      4000299
     0.092	 0.00010466	      3995978
     0.093	 0.00010307	      3999522
     0.094	 0.00010199	      3995388
     0.095	 0.00009989	      3998384
     0.096	 0.00009925	      3995867
     0.097	 0.00009827	      3998417
     0.098	 0.00009875	      3998358
     0.099	 0.00009454	      3998327
     0.100	 0.00009492	      4000249
     0.101	 0.00009401	      3993713
     0.102	 0.00009185	      3997040
     0.103	 0.00009135	      3997565
     0.104	 0.00008655	      3992403
     0.105	 0.00008764	      3996183
     0.106	 0.00008575	      3994494
     0.107	 0.00008322	      3992479
     0.108	 0.00008211	      3995765
     0.109	 0.00008112	      3990348
     0.110	 0.00007849	      3996698
     0.111	 0.00007893	      3992175
     0.112	 0.00007709	      3990543
     0.113	 0.00007580	      3996086
     0.114	 0.00007473	      3995621
     0.115	 0.00007334	      3996518
     0.116	 0.00007122	      3992504
     0.117	 0.00007110	      3990967
