#   d (cM)	weighted LD	    bin count
     0.188	 0.00002462	      3977398
     0.189	 0.00002459	      3975173
     0.190	 0.00002351	      3975686
     0.191	 0.00002276	      3975629
     0.192	 0.00002227	      3972492
     0.193	 0.00002262	      3969914
     0.194	 0.00002285	      3972422
     0.195	 0.00002144	      3970854
     0.196	 0.00002113	      3973597
     0.197	 0.00002238	      3971522
     0.198	 0.00002173	      3970692
     0.199	 0.00002130	      3971569
     0.200	 0.00002164	      3975740
     0.201	 0.00002131	      3971265
     0.202	 0.00001944	      3971654
     0.203	 0.00001995	      3973984
     0.204	 0.00002037	      3973411
     0.205	 0.00001838	      3976581
     0.206	 0.00001842	      3974227
     0.207	 0.00001775	      3972580
     0.208	 0.00001753	      3974302
     0.209	 0.00001844	      3972415
     0.210	 0.00001762	      3977509
     0.211	 0.00001811	      3976349
     0.212	 0.00001634	      3974044
     0.213	 0.00001753	      3973637
     0.214	 0.00001804	      3968013
     0.215	 0.00001744	      3973721
     0.216	 0.00001813	      3969425
     0.217	 0.00001657	      3974630
     0.218	 0.00001661	      3974244
     0.219	 0.00001551	      3972702
     0.220	 0.00001588	      3971094
     0.221	 0.00001541	      3972387
     0.222	 0.00001432	      3970288
     0.223	 0.00001424	      3972228
     0.224	 0.00001377	      3972168
     0.225	 0.00001396	      3973021
     0.226	 0.00001447	      3969988
     0.227	 0.00001404	      3968241
     0.228	 0.00001302	      3970784
     0.229	 0.00001338	      3972966
     0.230	 0.00001298	      3970353
     0.231	 0.00001289	      3967913
     0.232	 0.00001266	      3969500
     0.233	 0.00001223	      3973169
     0.234	 0.00001150	      3968667
     0.235	 0.00001215	      3972015
     0.236	 0.00001170	      3971032
     0.237	 0.00001171	      3967224
     0.238	 0.00001178	      3973590
     0.239	 0.00001125	      3970610
     0.240	 0.00001149	      3970575
     0.241	 0.00001070	      3970816
     0.242	 0.00001075	      3975913
     0.243	 0.00001195	      3971672
     0.244	 0.00001112	      3968820
     0.245	 0.00001058	      3971415
     0.246	 0.00000988	      3972713
     0.247	 0.00001001	      3969739
     0.248	 0.00000991	      3968946
     0.249	 0.00001001	      3966513
     0.250	 0.00001024	      3968436
     0.251	 0.00001041	      3968673
     0.252	 0.00000919	      3968332
     0.253	 0.00000849	      3965048
     0.254	 0.00000821	      3972105
     0.255	 0.00000831	      3965414
     0.256	 0.00000886	      3965546
     0.257	 0.00000844	      3964985
     0.258	 0.00000947	      3966685
     0.259	 0.00000857	      3965638
     0.260	 0.00000874	      3967398
     0.261	 0.00000868	      3970106
     0.262	 0.00000873	      3967738
     0.263	 0.00000778	      3966768
     0.264	 0.00000841	      3970288
     0.265	 0.00000744	      3963928
     0.266	 0.00000781	      3967988
     0.267	 0.00000863	      3967990
     0.268	 0.00000786	      3967081
     0.269	 0.00000783	      3967416
     0.270	 0.00000706	      3966966
     0.271	 0.00000788	      3971222
     0.272	 0.00000701	      3965652
     0.273	 0.00000628	      3972172
     0.274	 0.00000660	      3970076
     0.275	 0.00000548	      3970289
     0.276	 0.00000666	      3966740
     0.277	 0.00000656	      3968256
     0.278	 0.00000651	      3965525
     0.279	 0.00000551	      3970310
     0.280	 0.00000584	      3970283
     0.281	 0.00000557	      3967431
     0.282	 0.00000612	      3965594
     0.283	 0.00000542	      3968332
     0.284	 0.00000612	      3967719
     0.285	 0.00000519	      3969285
     0.286	 0.00000548	      3968224
     0.287	 0.00000514	      3968092
     0.288	 0.00000511	      3967731
     0.289	 0.00000482	      3966321
     0.290	 0.00000418	      3969440
     0.291	 0.00000425	      3968072
     0.292	 0.00000473	      3970552
     0.293	 0.00000449	      3969380
     0.294	 0.00000508	      3963537
     0.295	 0.00000496	      3970582
     0.296	 0.00000559	      3969204
     0.297	 0.00000432	      3969583
     0.298	 0.00000378	      3969563
     0.299	 0.00000387	      3968762
     0.300	 0.00000378	      3965464
     0.301	 0.00000344	      3973132
     0.302	 0.00000470	      3966624
     0.303	 0.00000445	      3965892
     0.304	 0.00000374	      3968604
     0.305	 0.00000419	      3969912
     0.306	 0.00000379	      3963823
     0.307	 0.00000331	      3968589
     0.308	 0.00000398	      3963072
     0.309	 0.00000396	      3968067
     0.310	 0.00000408	      3964458
     0.311	 0.00000368	      3969027
     0.312	 0.00000439	      3965272
     0.313	 0.00000411	      3966381
     0.314	 0.00000363	      3966680
     0.315	 0.00000433	      3972785
     0.316	 0.00000446	      3969516
     0.317	 0.00000388	      3972236
     0.318	 0.00000382	      3964185
     0.319	 0.00000409	      3965695
     0.320	 0.00000391	      3967382
     0.321	 0.00000410	      3962558
     0.322	 0.00000399	      3966692
     0.323	 0.00000329	      3966682
     0.324	 0.00000283	      3965649
     0.325	 0.00000346	      3968442
     0.326	 0.00000305	      3964423
     0.327	 0.00000260	      3966199
     0.328	 0.00000309	      3965725
     0.329	 0.00000291	      3966135
     0.330	 0.00000216	      3967304
     0.331	 0.00000218	      3966984
     0.332	 0.00000274	      3964869
     0.333	 0.00000292	      3967432
     0.334	 0.00000226	      3966326
     0.335	 0.00000284	      3964779
     0.336	 0.00000192	      3966834
     0.337	 0.00000257	      3968228
     0.338	 0.00000305	      3962892
     0.339	 0.00000314	      3964562
     0.340	 0.00000344	      3963273
     0.341	 0.00000234	      3963106
     0.342	 0.00000282	      3965875
     0.343	 0.00000230	      3966060
     0.344	 0.00000261	      3962684
     0.345	 0.00000302	      3966245
     0.346	 0.00000218	      3961494
     0.347	 0.00000254	      3963046
     0.348	 0.00000233	      3962648
     0.349	 0.00000219	      3965157
     0.350	 0.00000198	      3962289
     0.351	 0.00000149	      3963201
     0.352	 0.00000168	      3962131
     0.353	 0.00000275	      3961978
     0.354	 0.00000278	      3966549
     0.355	 0.00000220	      3967182
     0.356	 0.00000308	      3962825
     0.357	 0.00000347	      3958981
     0.358	 0.00000237	      3962491
     0.359	 0.00000286	      3962800
     0.360	 0.00000238	      3960587
     0.361	 0.00000177	      3963308
     0.362	 0.00000177	      3962292
     0.363	 0.00000150	      3960149
     0.364	 0.00000191	      3960604
     0.365	 0.00000158	      3961554
     0.366	 0.00000170	      3964044
     0.367	 0.00000181	      3962725
     0.368	 0.00000194	      3959621
     0.369	 0.00000141	      3965171
     0.370	 0.00000159	      3962879
     0.371	 0.00000165	      3966611
     0.372	 0.00000188	      3962884
     0.373	 0.00000192	      3964090
     0.374	 0.00000187	      3963752
     0.375	 0.00000162	      3964265
     0.376	 0.00000121	      3959391
     0.377	 0.00000174	      3966663
     0.378	 0.00000128	      3963789
     0.379	 0.00000137	      3966813
     0.380	 0.00000114	      3964662
     0.381	 0.00000118	      3966003
     0.382	 0.00000174	      3968820
     0.383	 0.00000108	      3964264
     0.384	 0.00000125	      3961951
     0.385	 0.00000130	      3964121
     0.386	 0.00000098	      3964384
     0.387	 0.00000191	      3958931
     0.388	 0.00000205	      3963590
     0.389	 0.00000183	      3963032
     0.390	 0.00000162	      3962836
     0.391	 0.00000147	      3966976
     0.392	 0.00000182	      3964506
     0.393	 0.00000129	      3963630
     0.394	 0.00000116	      3961339
     0.395	 0.00000259	      3962810
     0.396	 0.00000145	      3964005
     0.397	 0.00000217	      3959205
     0.398	 0.00000157	      3963770
     0.399	 0.00000135	      3958581
     0.400	 0.00000100	      3966730
     0.401	 0.00000188	      3961529
     0.402	 0.00000191	      3961913
     0.403	 0.00000155	      3964480
     0.404	 0.00000180	      3964529
     0.405	 0.00000119	      3964444
     0.406	 0.00000171	      3963171
     0.407	 0.00000160	      3961937
     0.408	 0.00000104	      3964618
     0.409	 0.00000102	      3957275
     0.410	 0.00000176	      3963334
     0.411	 0.00000085	      3960575
     0.412	 0.00000056	      3959427
     0.413	 0.00000135	      3961388
     0.414	 0.00000115	      3963073
     0.415	 0.00000068	      3963972
     0.416	 0.00000076	      3964244
     0.417	 0.00000094	      3963400
     0.418	 0.00000071	      3965878
     0.419	 0.00000111	      3960704
     0.420	 0.00000146	      3961994
     0.421	 0.00000093	      3963550
     0.422	 0.00000168	      3963507
     0.423	 0.00000097	      3962123
     0.424	 0.00000134	      3959193
     0.425	 0.00000157	      3963773
     0.426	 0.00000070	      3960720
     0.427	 0.00000047	      3966075
     0.428	 0.00000049	      3966390
     0.429	 0.00000067	      3961503
     0.430	 0.00000020	      3963449
     0.431	 0.00000036	      3964717
     0.432	 0.00000012	      3960530
     0.433	 0.00000018	      3963575
     0.434	 0.00000082	      3961903
     0.435	 0.00000047	      3961142
     0.436	 0.00000102	      3959354
     0.437	 0.00000119	      3962502
     0.438	 0.00000069	      3959877
     0.439	 0.00000091	      3959025
     0.440	 0.00000053	      3959955
     0.441	 0.00000078	      3960523
     0.442	 0.00000006	      3961168
     0.443	 0.00000074	      3962246
     0.444	 0.00000099	      3961107
     0.445	 0.00000062	      3961039
     0.446	 0.00000040	      3960942
     0.447	 0.00000000	      3959888
     0.448	 0.00000075	      3959774
     0.449	 0.00000011	      3961918
     0.450	 0.00000005	      3965120
     0.451	 0.00000018	      3961429
     0.452	 0.00000033	      3966069
     0.453	 0.00000050	      3963346
     0.454	 0.00000053	      3961468
     0.455	 0.00000071	      3963088
     0.456	 0.00000042	      3963196
     0.457	 0.00000003	      3962731
     0.458	 0.00000067	      3962971
     0.459	 0.00000020	      3963696
     0.460	 0.00000034	      3960931
     0.461	 0.00000061	      3962375
     0.462	 0.00000055	      3958607
     0.463	 0.00000079	      3961539
     0.464	 0.00000081	      3959969
     0.465	 0.00000097	      3958172
     0.466	 0.00000071	      3959731
     0.467	 0.00000069	      3962562
     0.468	 0.00000077	      3963023
     0.469	 0.00000077	      3965200
     0.470	 0.00000119	      3961266
     0.471	 0.00000079	      3962879
     0.472	 0.00000060	      3956229
     0.473	 0.00000044	      3960237
     0.474	 0.00000047	      3959950
     0.475	 0.00000039	      3958408
     0.476	 0.00000059	      3961687
     0.477	 0.00000079	      3959833
     0.478	 0.00000065	      3960741
     0.479	 0.00000100	      3961001
     0.480	 0.00000051	      3958378
     0.481	 0.00000075	      3959787
     0.482	 0.00000030	      3957782
     0.483	 0.00000066	      3963049
     0.484	 0.00000053	      3959530
     0.485	-0.00000029	      3956588
     0.486	 0.00000023	      3961381
     0.487	 0.00000084	      3961010
     0.488	 0.00000110	      3958038
     0.489	 0.00000149	      3960389
     0.490	 0.00000125	      3962579
     0.491	 0.00000140	      3961806
     0.492	 0.00000080	      3960438
     0.493	 0.00000098	      3957242
     0.494	 0.00000061	      3960073
     0.495	 0.00000077	      3959094
     0.496	 0.00000055	      3963808
     0.497	 0.00000144	      3960068
     0.498	 0.00000100	      3958751
     0.499	 0.00000069	      3960325
     0.500	 0.00000066	      3961217
     0.501	 0.00000064	      3961346
     0.502	 0.00000074	      3958718
     0.503	 0.00000078	      3959990
     0.504	 0.00000020	      3960628
     0.505	 0.00000070	      3962267
     0.506	 0.00000008	      3962861
     0.507	 0.00000061	      3960683
     0.508	 0.00000076	      3962687
     0.509	 0.00000008	      3958944
     0.510	 0.00000041	      3962235
     0.511	 0.00000020	      3962105
     0.512	 0.00000056	      3959752
     0.513	 0.00000027	      3962759
     0.514	 0.00000096	      3956234
     0.515	 0.00000138	      3961107
     0.516	 0.00000048	      3959608
     0.517	 0.00000056	      3963116
     0.518	 0.00000066	      3959103
     0.519	 0.00000080	      3957294
     0.520	 0.00000051	      3962660
     0.521	 0.00000041	      3956909
     0.522	 0.00000008	      3958267
     0.523	 0.00000070	      3958742
     0.524	 0.00000057	      3958999
     0.525	 0.00000103	      3955543
     0.526	 0.00000110	      3958709
     0.527	 0.00000077	      3962343
     0.528	 0.00000057	      3956517
     0.529	 0.00000100	      3959401
     0.530	 0.00000099	      3956502
     0.531	 0.00000086	      3956717
     0.532	 0.00000082	      3957820
     0.533	 0.00000065	      3956042
     0.534	 0.00000084	      3957833
     0.535	 0.00000112	      3958745
     0.536	 0.00000079	      3959802
     0.537	 0.00000069	      3959791
     0.538	 0.00000062	      3958600
     0.539	 0.00000073	      3958268
     0.540	 0.00000096	      3960898
     0.541	-0.00000001	      3956722
     0.542	 0.00000092	      3956151
     0.543	 0.00000046	      3956482
     0.544	 0.00000081	      3957617
     0.545	 0.00000100	      3959325
     0.546	 0.00000091	      3958217
     0.547	 0.00000075	      3958134
     0.548	 0.00000107	      3956789
     0.549	 0.00000059	      3961493
     0.550	 0.00000059	      3956190
     0.551	 0.00000093	      3960887
     0.552	 0.00000028	      3957141
     0.553	 0.00000056	      3958539
     0.554	 0.00000025	      3955835
     0.555	 0.00000031	      3957417
     0.556	 0.00000011	      3958581
     0.557	 0.00000010	      3955121
     0.558	 0.00000023	      3957414
     0.559	 0.00000051	      3958940
     0.560	-0.00000014	      3958231
