#   d (cM)	weighted LD	    bin count
     0.001	 0.00164012	      4416761
     0.002	 0.00130370	      4348884
     0.003	 0.00111105	      4300933
     0.004	 0.00094701	      4268524
     0.005	 0.00084350	      4237873
     0.006	 0.00075495	      4219623
     0.007	 0.00069052	      4201607
     0.008	 0.00064524	      4184227
     0.009	 0.00060814	      4172827
     0.010	 0.00056615	      4158532
     0.011	 0.00053659	      4155044
     0.012	 0.00050633	      4140402
     0.013	 0.00048223	      4132241
     0.014	 0.00047019	      4124936
     0.015	 0.00044831	      4123717
     0.016	 0.00043914	      4119777
     0.017	 0.00042579	      4111606
     0.018	 0.00040955	      4101695
     0.019	 0.00039763	      4103643
     0.020	 0.00039237	      4100537
     0.021	 0.00038388	      4092205
     0.022	 0.00037151	      4085922
     0.023	 0.00035768	      4084343
     0.024	 0.00035573	      4082066
     0.025	 0.00034297	      4084836
     0.026	 0.00034006	      4079348
     0.027	 0.00033141	      4073941
     0.028	 0.00032658	      4074471
     0.029	 0.00031785	      4072286
     0.030	 0.00031242	      4069112
     0.031	 0.00030632	      4064109
     0.032	 0.00029669	      4063606
     0.033	 0.00029271	      4061137
     0.034	 0.00028888	      4061965
     0.035	 0.00028133	      4060953
     0.036	 0.00027432	      4055594
     0.037	 0.00027336	      4055850
     0.038	 0.00026501	      4056355
     0.039	 0.00026296	      4058062
     0.040	 0.00025772	      4053216
     0.041	 0.00024907	      4049050
     0.042	 0.00024555	      4050590
     0.043	 0.00024172	      4045218
     0.044	 0.00024200	      4046613
     0.045	 0.00024353	      4047821
     0.046	 0.00023351	      4050252
     0.047	 0.00023008	      4045028
     0.048	 0.00022932	      4048759
     0.049	 0.00022450	      4048518
     0.050	 0.00021836	      4043852
     0.051	 0.00021411	      4047691
     0.052	 0.00021235	      4038699
     0.053	 0.00021032	      4042190
     0.054	 0.00020435	      4041714
     0.055	 0.00020144	      4038206
     0.056	 0.00020083	      4038934
     0.057	 0.00019464	      4039833
     0.058	 0.00019269	      4040145
     0.059	 0.00018710	      4039160
     0.060	 0.00018633	      4039687
     0.061	 0.00018472	      4036791
     0.062	 0.00017861	      4036950
     0.063	 0.00017831	      4032997
     0.064	 0.00017471	      4033677
     0.065	 0.00017383	      4033893
     0.066	 0.00017078	      4032581
     0.067	 0.00016636	      4033180
