#   d (cM)	weighted LD	    bin count
     0.188	 0.00002780	      3990726
     0.189	 0.00002771	      3994746
     0.190	 0.00002550	      3991248
     0.191	 0.00002550	      3991833
     0.192	 0.00002485	      3992663
     0.193	 0.00002522	      3992246
     0.194	 0.00002437	      3993348
     0.195	 0.00002432	      3987003
     0.196	 0.00002336	      3988931
     0.197	 0.00002301	      3986522
     0.198	 0.00002295	      3991930
     0.199	 0.00002129	      3990027
     0.200	 0.00002135	      3989081
     0.201	 0.00002045	      3991427
     0.202	 0.00002144	      3988124
     0.203	 0.00002119	      3993717
     0.204	 0.00002118	      3988516
     0.205	 0.00002059	      3992418
     0.206	 0.00002048	      3991363
     0.207	 0.00001865	      3992323
     0.208	 0.00001955	      3991790
     0.209	 0.00001918	      3993035
     0.210	 0.00001895	      3988780
     0.211	 0.00001967	      3989824
     0.212	 0.00001911	      3983706
     0.213	 0.00001744	      3988827
     0.214	 0.00001770	      3990051
     0.215	 0.00001777	      3992976
     0.216	 0.00001681	      3989292
     0.217	 0.00001688	      3987464
     0.218	 0.00001789	      3987393
     0.219	 0.00001767	      3989338
     0.220	 0.00001685	      3988925
     0.221	 0.00001615	      3988516
     0.222	 0.00001659	      3988181
     0.223	 0.00001632	      3988544
     0.224	 0.00001633	      3987355
     0.225	 0.00001607	      3983629
     0.226	 0.00001512	      3984541
     0.227	 0.00001513	      3991853
     0.228	 0.00001539	      3987814
     0.229	 0.00001473	      3988470
     0.230	 0.00001484	      3989645
     0.231	 0.00001520	      3985059
     0.232	 0.00001501	      3990494
     0.233	 0.00001416	      3987566
     0.234	 0.00001401	      3989541
     0.235	 0.00001393	      3992779
     0.236	 0.00001369	      3991008
     0.237	 0.00001270	      3988529
     0.238	 0.00001262	      3989091
     0.239	 0.00001261	      3990351
     0.240	 0.00001207	      3989648
     0.241	 0.00001242	      3988570
     0.242	 0.00001210	      3990824
     0.243	 0.00001229	      3988923
     0.244	 0.00001245	      3988637
     0.245	 0.00001270	      3992030
     0.246	 0.00001213	      3991291
     0.247	 0.00001088	      3990351
     0.248	 0.00001075	      3988593
     0.249	 0.00001153	      3988743
     0.250	 0.00001101	      3989014
     0.251	 0.00001115	      3990932
     0.252	 0.00001027	      3989160
     0.253	 0.00001010	      3988471
     0.254	 0.00001027	      3986203
     0.255	 0.00000987	      3986857
     0.256	 0.00000981	      3986780
     0.257	 0.00000937	      3987038
     0.258	 0.00000982	      3986892
     0.259	 0.00000907	      3988872
     0.260	 0.00000972	      3986781
     0.261	 0.00000969	      3986882
     0.262	 0.00000930	      3986954
     0.263	 0.00000847	      3988405
     0.264	 0.00000874	      3984036
     0.265	 0.00000883	      3984185
     0.266	 0.00000886	      3987293
     0.267	 0.00000828	      3988191
     0.268	 0.00000766	      3987341
     0.269	 0.00000913	      3983191
     0.270	 0.00000876	      3989335
     0.271	 0.00000848	      3987438
     0.272	 0.00000806	      3989230
     0.273	 0.00000818	      3990815
     0.274	 0.00000712	      3985620
     0.275	 0.00000760	      3985735
     0.276	 0.00000798	      3986532
     0.277	 0.00000795	      3984230
     0.278	 0.00000672	      3987519
     0.279	 0.00000693	      3983844
     0.280	 0.00000700	      3987660
     0.281	 0.00000663	      3986517
     0.282	 0.00000656	      3985572
     0.283	 0.00000649	      3989054
     0.284	 0.00000670	      3984136
     0.285	 0.00000659	      3986670
     0.286	 0.00000670	      3988729
     0.287	 0.00000688	      3986503
     0.288	 0.00000667	      3988742
     0.289	 0.00000676	      3984161
     0.290	 0.00000740	      3986677
     0.291	 0.00000614	      3989306
     0.292	 0.00000638	      3985099
     0.293	 0.00000586	      3988804
     0.294	 0.00000620	      3983991
     0.295	 0.00000620	      3985627
     0.296	 0.00000611	      3985822
     0.297	 0.00000478	      3986188
     0.298	 0.00000542	      3984267
     0.299	 0.00000533	      3987067
     0.300	 0.00000501	      3985196
     0.301	 0.00000498	      3986431
     0.302	 0.00000521	      3983707
     0.303	 0.00000461	      3987758
     0.304	 0.00000406	      3985616
     0.305	 0.00000480	      3985090
     0.306	 0.00000433	      3988213
     0.307	 0.00000505	      3988280
     0.308	 0.00000341	      3987828
     0.309	 0.00000413	      3985692
     0.310	 0.00000379	      3986078
     0.311	 0.00000333	      3985291
     0.312	 0.00000396	      3991596
     0.313	 0.00000349	      3986004
     0.314	 0.00000357	      3984421
     0.315	 0.00000319	      3987836
     0.316	 0.00000376	      3991798
     0.317	 0.00000361	      3984808
     0.318	 0.00000317	      3984134
     0.319	 0.00000313	      3986468
     0.320	 0.00000303	      3983903
     0.321	 0.00000317	      3982626
     0.322	 0.00000378	      3987193
     0.323	 0.00000393	      3982341
     0.324	 0.00000300	      3984694
     0.325	 0.00000278	      3984063
     0.326	 0.00000280	      3983650
     0.327	 0.00000374	      3984544
     0.328	 0.00000360	      3983789
     0.329	 0.00000216	      3984993
     0.330	 0.00000323	      3981163
     0.331	 0.00000340	      3986732
     0.332	 0.00000330	      3987211
     0.333	 0.00000250	      3984821
     0.334	 0.00000284	      3986787
     0.335	 0.00000302	      3982621
     0.336	 0.00000327	      3985146
