#   d (cM)	weighted LD	    bin count
     0.188	 0.00002678	      3998089
     0.189	 0.00002654	      3999778
     0.190	 0.00002688	      3996368
     0.191	 0.00002692	      3999524
     0.192	 0.00002638	      3999701
     0.193	 0.00002478	      3994217
     0.194	 0.00002490	      3998320
     0.195	 0.00002494	      3998618
     0.196	 0.00002513	      3995667
     0.197	 0.00002467	      4001680
     0.198	 0.00002287	      3997259
     0.199	 0.00002304	      3997592
     0.200	 0.00002315	      3997512
     0.201	 0.00002301	      3997535
     0.202	 0.00002217	      3996041
     0.203	 0.00002273	      3991463
     0.204	 0.00002210	      3995361
     0.205	 0.00002273	      3997790
     0.206	 0.00002162	      3996940
     0.207	 0.00002217	      3994924
     0.208	 0.00002176	      3997049
     0.209	 0.00002128	      3995501
     0.210	 0.00002116	      3995308
     0.211	 0.00002013	      3999444
     0.212	 0.00002089	      4000379
     0.213	 0.00002061	      3999097
     0.214	 0.00001954	      3997643
     0.215	 0.00001826	      4000337
     0.216	 0.00001916	      3998753
     0.217	 0.00001904	      3999796
     0.218	 0.00001928	      3995185
     0.219	 0.00001835	      3996198
     0.220	 0.00001864	      3996738
     0.221	 0.00001824	      3998715
     0.222	 0.00001769	      3998051
     0.223	 0.00001854	      3997127
     0.224	 0.00001692	      3996404
     0.225	 0.00001720	      3998488
     0.226	 0.00001654	      3998078
     0.227	 0.00001668	      3996089
     0.228	 0.00001739	      3996376
     0.229	 0.00001595	      3998735
     0.230	 0.00001696	      3996948
     0.231	 0.00001602	      3996716
     0.232	 0.00001615	      3996152
     0.233	 0.00001571	      3997107
     0.234	 0.00001521	      3994867
     0.235	 0.00001556	      3999446
     0.236	 0.00001509	      3992685
     0.237	 0.00001472	      3993491
     0.238	 0.00001374	      3997081
     0.239	 0.00001329	      3999385
     0.240	 0.00001334	      3996917
     0.241	 0.00001460	      3991529
     0.242	 0.00001336	      3996380
     0.243	 0.00001358	      3994103
     0.244	 0.00001369	      3996254
     0.245	 0.00001224	      3991939
     0.246	 0.00001268	      3995454
     0.247	 0.00001288	      3994593
     0.248	 0.00001256	      3992855
     0.249	 0.00001334	      3994239
     0.250	 0.00001356	      3993286
     0.251	 0.00001310	      3994602
     0.252	 0.00001257	      3998702
     0.253	 0.00001257	      3995219
     0.254	 0.00001166	      3995018
     0.255	 0.00001246	      3996203
     0.256	 0.00001185	      3991253
     0.257	 0.00001202	      3997104
     0.258	 0.00001082	      3991288
     0.259	 0.00001156	      3995753
     0.260	 0.00001181	      3991389
     0.261	 0.00001180	      3992836
     0.262	 0.00001186	      3993284
     0.263	 0.00001179	      3990797
     0.264	 0.00001129	      3990382
     0.265	 0.00001120	      3990839
     0.266	 0.00001122	      3993149
     0.267	 0.00001053	      3996285
     0.268	 0.00001025	      3995937
     0.269	 0.00001035	      3995270
     0.270	 0.00000984	      3990843
     0.271	 0.00000997	      3991605
     0.272	 0.00000981	      3996147
     0.273	 0.00000982	      3993030
     0.274	 0.00000949	      3994362
     0.275	 0.00000968	      3997394
     0.276	 0.00000979	      3993730
     0.277	 0.00000926	      3996077
     0.278	 0.00000918	      3993153
     0.279	 0.00000905	      3996499
     0.280	 0.00000816	      3995284
     0.281	 0.00000835	      3997748
     0.282	 0.00000866	      3993407
     0.283	 0.00000892	      3996542
     0.284	 0.00000859	      3994072
     0.285	 0.00000826	      3993111
     0.286	 0.00000777	      3990828
     0.287	 0.00000727	      3993056
     0.288	 0.00000783	      3993314
     0.289	 0.00000787	      3995087
     0.290	 0.00000759	      3997703
     0.291	 0.00000786	      3990520
     0.292	 0.00000718	      3993245
     0.293	 0.00000680	      3989968
     0.294	 0.00000745	      3991171
     0.295	 0.00000701	      3994265
     0.296	 0.00000648	      3993664
     0.297	 0.00000619	      3991004
     0.298	 0.00000699	      3992408
     0.299	 0.00000673	      3993356
     0.300	 0.00000653	      3996841
     0.301	 0.00000688	      3993149
     0.302	 0.00000637	      3991679
     0.303	 0.00000710	      3990258
     0.304	 0.00000686	      3990497
     0.305	 0.00000710	      3996625
     0.306	 0.00000664	      3996537
     0.307	 0.00000731	      3990878
     0.308	 0.00000661	      3995478
     0.309	 0.00000665	      3988746
     0.310	 0.00000702	      3992107
     0.311	 0.00000659	      3990704
     0.312	 0.00000619	      3991221
     0.313	 0.00000618	      3992200
     0.314	 0.00000590	      3989362
     0.315	 0.00000605	      3990835
     0.316	 0.00000567	      3991930
     0.317	 0.00000595	      3990520
     0.318	 0.00000638	      3986270
     0.319	 0.00000566	      3989641
     0.320	 0.00000544	      3992099
     0.321	 0.00000527	      3994570
     0.322	 0.00000487	      3993269
     0.323	 0.00000462	      3991067
     0.324	 0.00000481	      3990517
     0.325	 0.00000490	      3990693
     0.326	 0.00000473	      3988121
     0.327	 0.00000465	      3993434
     0.328	 0.00000445	      3988508
