#   d (cM)	weighted LD	    bin count
     0.001	 0.00161659	      4413675
     0.002	 0.00131150	      4353388
     0.003	 0.00108064	      4309235
     0.004	 0.00093272	      4279166
     0.005	 0.00081799	      4242151
     0.006	 0.00073272	      4220195
     0.007	 0.00066662	      4202632
     0.008	 0.00061980	      4190345
     0.009	 0.00057932	      4169519
     0.010	 0.00054092	      4163993
     0.011	 0.00051274	      4155488
     0.012	 0.00048774	      4147459
     0.013	 0.00046609	      4137702
     0.014	 0.00044181	      4129780
     0.015	 0.00042675	      4126010
     0.016	 0.00041152	      4118913
     0.017	 0.00039825	      4114533
     0.018	 0.00038310	      4109216
     0.019	 0.00037378	      4102447
     0.020	 0.00036198	      4100902
     0.021	 0.00035732	      4101620
     0.022	 0.00034722	      4092988
     0.023	 0.00033900	      4091496
     0.024	 0.00032976	      4088220
     0.025	 0.00032332	      4084221
     0.026	 0.00031652	      4083796
     0.027	 0.00030759	      4079730
     0.028	 0.00030092	      4078233
     0.029	 0.00029294	      4073224
     0.030	 0.00029096	      4074201
     0.031	 0.00028309	      4071096
     0.032	 0.00027768	      4069094
     0.033	 0.00027197	      4064026
     0.034	 0.00026789	      4063216
     0.035	 0.00026112	      4066439
     0.036	 0.00025719	      4062255
     0.037	 0.00025222	      4061381
     0.038	 0.00025193	      4056045
     0.039	 0.00024509	      4057346
     0.040	 0.00023994	      4056456
     0.041	 0.00023708	      4053853
     0.042	 0.00023044	      4053083
     0.043	 0.00022763	      4053422
     0.044	 0.00022210	      4046444
     0.045	 0.00021802	      4053708
     0.046	 0.00021817	      4050309
     0.047	 0.00021209	      4050190
     0.048	 0.00021113	      4050423
     0.049	 0.00020757	      4047142
     0.050	 0.00020192	      4044636
     0.051	 0.00019642	      4047074
     0.052	 0.00019687	      4048197
     0.053	 0.00019273	      4044865
     0.054	 0.00018608	      4045969
     0.055	 0.00018847	      4041339
     0.056	 0.00018375	      4041602
     0.057	 0.00018076	      4037211
     0.058	 0.00017834	      4042147
     0.059	 0.00017652	      4041569
     0.060	 0.00016993	      4036348
     0.061	 0.00016987	      4035406
     0.062	 0.00016375	      4038900
     0.063	 0.00016056	      4039441
     0.064	 0.00016093	      4041345
     0.065	 0.00015767	      4036534
     0.066	 0.00015662	      4036584
     0.067	 0.00015581	      4038042
     0.068	 0.00015376	      4037501
     0.069	 0.00014926	      4036982
     0.070	 0.00014696	      4033352
     0.071	 0.00014539	      4033535
     0.072	 0.00014377	      4038706
     0.073	 0.00014112	      4033538
     0.074	 0.00013838	      4032745
     0.075	 0.00013570	      4030190
     0.076	 0.00013498	      4031590
     0.077	 0.00013221	      4031671
     0.078	 0.00013211	      4030969
     0.079	 0.00012883	      4033043
     0.080	 0.00012776	      4030010
     0.081	 0.00012467	      4031312
     0.082	 0.00012130	      4030304
     0.083	 0.00012036	      4028022
     0.084	 0.00011879	      4026588
     0.085	 0.00011604	      4031309
     0.086	 0.00011324	      4025881
     0.087	 0.00011204	      4027498
     0.088	 0.00011112	      4029250
     0.089	 0.00010746	      4029015
     0.090	 0.00010710	      4031093
     0.091	 0.00010421	      4029454
     0.092	 0.00010531	      4024862
     0.093	 0.00010205	      4028514
     0.094	 0.00010030	      4027429
     0.095	 0.00009888	      4024005
     0.096	 0.00009617	      4026133
     0.097	 0.00009596	      4026643
     0.098	 0.00009288	      4027052
     0.099	 0.00009241	      4022724
     0.100	 0.00009261	      4024269
     0.101	 0.00009067	      4017494
     0.102	 0.00008952	      4028662
     0.103	 0.00008683	      4024141
     0.104	 0.00008601	      4022671
     0.105	 0.00008591	      4024800
     0.106	 0.00008440	      4022458
     0.107	 0.00008167	      4024742
     0.108	 0.00007945	      4023902
     0.109	 0.00007662	      4022794
     0.110	 0.00007688	      4022033
     0.111	 0.00007657	      4021240
     0.112	 0.00007615	      4016964
     0.113	 0.00007591	      4026343
     0.114	 0.00007290	      4021060
     0.115	 0.00007014	      4017864
     0.116	 0.00007092	      4020494
     0.117	 0.00006990	      4022972
     0.118	 0.00006911	      4022876
     0.119	 0.00006653	      4019966
     0.120	 0.00006623	      4023798
     0.121	 0.00006532	      4018209
     0.122	 0.00006548	      4020923
     0.123	 0.00006520	      4018221
     0.124	 0.00006262	      4021495
     0.125	 0.00006319	      4021221
     0.126	 0.00006330	      4019129
     0.127	 0.00006065	      4022598
     0.128	 0.00006013	      4021445
     0.129	 0.00005801	      4021523
     0.130	 0.00005756	      4019537
     0.131	 0.00005596	      4019788
     0.132	 0.00005496	      4022461
     0.133	 0.00005427	      4020605
     0.134	 0.00005294	      4022140
     0.135	 0.00005254	      4017448
     0.136	 0.00005107	      4021917
     0.137	 0.00004902	      4018210
     0.138	 0.00004931	      4016339
     0.139	 0.00004870	      4018824
     0.140	 0.00004670	      4018452
     0.141	 0.00004737	      4019875
     0.142	 0.00004627	      4021421
     0.143	 0.00004638	      4019190
     0.144	 0.00004360	      4014195
