"V1" "V2"
"1" 0 0.00046027800791625
"2" 2.09028e-06 0.0001482004025125
"3" 4.23486e-06 0.0001341575976125
"4" 6.43663e-06 0.000166153805255
"5" 8.69874e-06 0.0001794558897425
"6" 1.10246e-05 0.00017848601026625
"7" 1.34178e-05 0.00017475857103375
"8" 1.58825e-05 0.00016934170107125
"9" 1.84231e-05 0.00016288448883625
"10" 2.10443e-05 0.00015625683623625
"11" 2.37515e-05 0.00015798936415625
"12" 2.65505e-05 0.00016079393613875
"13" 2.94477e-05 0.00016845055807625
"14" 3.24502e-05 0.00016845055807625
"15" 3.55661e-05 0.0001893953742075
"16" 3.88043e-05 0.0001893953742075
"17" 4.21746e-05 0.00022285016446375
"18" 4.56884e-05 0.00022285016446375
"19" 4.93584e-05 0.0002608936128025
"20" 5.31992e-05 0.0002608936128025
"21" 5.72274e-05 0.00030700273232375
"22" 6.14622e-05 0.00030700273232375
"23" 6.59261e-05 0.000353104850955
"24" 7.06452e-05 0.000353104850955
"25" 7.56505e-05 0.00039619651347125
"26" 8.09789e-05 0.00039619651347125
"27" 8.6675e-05 0.0004238257906475
"28" 9.27935e-05 0.0004238257906475
"29" 9.9402e-05 0.0004372693404225
"30" 0.000106586 0.0004372693404225
"31" 0.000114455 0.000438369615725
"32" 0.000123153 0.000438369615725
"33" 0.000132878 0.0004187253998825
"34" 0.000143902 0.0004187253998825
"35" 0.000156629 0.00036155642811125
"36" 0.000171682 0.00036155642811125
"37" 0.000190105 0.000282106546
"38" 0.000213857 0.000282106546
"39" 0.000247333 0.002573062098275
"40" 0.00030456 0.002573062098275
