"V1" "V2"
"1" 0 0.00766606615815
"2" 1.55432e-06 0.00018151982922625
"3" 3.14902e-06 0.000166153805255
"4" 4.78625e-06 0.00017886911788875
"5" 6.46834e-06 0.00014218683349875
"6" 8.19782e-06 9.4244311413375e-05
"7" 9.97744e-06 7.0756986544875e-05
"8" 1.18102e-05 5.89169647865e-05
"9" 1.36993e-05 5.1189332962e-05
"10" 1.56485e-05 4.4625325764875e-05
"11" 1.76615e-05 4.199175281975e-05
"12" 1.97428e-05 4.1082271356625e-05
"13" 2.18972e-05 4.2146078307375e-05
"14" 2.41299e-05 4.2146078307375e-05
"15" 2.64468e-05 4.8011830115e-05
"16" 2.88547e-05 4.8011830115e-05
"17" 3.13608e-05 5.8375275969125e-05
"18" 3.39737e-05 5.8375275969125e-05
"19" 3.67027e-05 7.2387708567125e-05
"20" 3.95587e-05 7.2387708567125e-05
"21" 4.2554e-05 9.345811861325e-05
"22" 4.5703e-05 9.345811861325e-05
"23" 4.90224e-05 0.0001228326184475
"24" 5.25314e-05 0.0001228326184475
"25" 5.62533e-05 0.0001619711237875
"26" 6.02155e-05 0.0001619711237875
"27" 6.44512e-05 0.000206127766235
"28" 6.90008e-05 0.000206127766235
"29" 7.39149e-05 0.000254864080985
"30" 7.92567e-05 0.000254864080985
"31" 8.5108e-05 0.0003075219878225
"32" 9.15764e-05 0.0003075219878225
"33" 9.88074e-05 0.000354798651765
"34" 0.000107005 0.000354798651765
"35" 0.000116469 0.00036655010373375
"36" 0.000127662 0.00036655010373375
"37" 0.000141361 0.00032022748960875
"38" 0.000159023 0.00032022748960875
"39" 0.000183915 0.0023904801518375
"40" 0.000226469 0.0023904801518375
