"time" "PopSize"
"0" 0 5.54605578666667e-06
"1" 2.15131701333333e-06 5.54605578666667e-06
"2" 3.57237045333333e-06 1.40452382533333e-05
"3" 5.29441090666667e-06 2.09408013866667e-05
"4" 7.37171472e-06 2.641531108e-05
"5" 9.88816352e-06 3.11755933933333e-05
"6" 1.29276389333333e-05 3.41410556066667e-05
"7" 1.66036278666667e-05 3.483061192e-05
"8" 2.104935408e-05 3.34551999533333e-05
"9" 2.64227124e-05 3.23931105333333e-05
"10" 3.29161371466667e-05 3.22870249466667e-05
"11" 4.07763389866667e-05 3.15098863466667e-05
"12" 5.02746996533333e-05 3.00653953933333e-05
"13" 6.175661408e-05 2.966819122e-05
"14" 7.56464246133333e-05 3.11916295866667e-05
"15" 9.24326183733333e-05 3.47775691266667e-05
"16" 0.00011273690624 4.052962832e-05
"17" 0.00013727968336 5.06262623533333e-05
"18" 0.00016695897656 7.000908588e-05
"19" 0.00020284057592 0.000103136160646667
"20" 0.00024622711376 0.000146037912026667
"21" 0.000298682735706667 0.00018359714392
"22" 0.000362112048106667 0.0002063858082
"23" 0.000438799591733333 0.000217537130333333
"24" 0.000531523328693333 0.000217274383473333
"25" 0.00064363358984 0.00019925463638
"26" 0.000779186298533333 0.000148738160273333
"27" 0.00114124900450667 0.000553579262293333
