"time" "PopSize"
"1" 0 7.60827629761068e-06
"2" 1.23355391431511e-05 7.60827629761068e-06
"3" 1.36613847527713e-05 3.42043196196017e-06
"4" 1.45387868360099e-05 8.66269257724993e-06
"5" 1.55996480443789e-05 1.29161304103803e-05
"6" 1.6882328499465e-05 1.62926401118723e-05
"7" 1.84332091772395e-05 1.92281646854457e-05
"8" 2.03083690170553e-05 2.10578045539198e-05
"9" 2.25756127033356e-05 2.14825428164677e-05
"10" 2.53169224433536e-05 2.06345719450165e-05
"11" 2.86314223959575e-05 1.99790071046905e-05
"12" 3.26389629432506e-05 1.99138626482099e-05
"13" 3.74844544103964e-05 1.94342431596263e-05
"14" 4.33431069383272e-05 1.8543574614523e-05
"15" 5.04267659800894e-05 1.82984883586291e-05
"16" 5.89915725086758e-05 1.92384676992468e-05
"17" 6.93472249249819e-05 2.14499385189959e-05
"18" 8.18681775710716e-05 2.49979135673367e-05
"19" 9.70071807804455e-05 3.12254007043825e-05
"20" 0.000115311652065624 4.31800815062305e-05
"21" 0.000137443470415624 6.3611805882167e-05
"22" 0.000164202909453561 9.00729635052174e-05
"23" 0.000196557574863376 0.000113238536241414
"24" 0.000235677392446137 0.000127294251461941
"25" 0.000282976911953583 0.00013417225449798
"26" 0.000340166456380835 0.000134009730202112
"27" 0.000409313966246801 0.000122895406581221
"28" 0.000492919775115348 9.17383729143407e-05
"29" 0.00071623095722136 0.000341435460551279
